paymentType,year,month,mean_costAmount,median_costAmount,mean_priceAmount,median_priceAmount,mean_passengerCount,median_passengerCount
Cash,2009,1,8.97,7.1,9.24,7.3,1.71,1.0
Credit card,2009,1,11.48,8.9,14.06,10.7,1.65,1.0
Dispute,2009,1,11.61,7.3,11.91,7.4,1.28,1.0
No Charge,2009,1,10.23,6.5,10.43,6.6,1.21,1.0
Cash,2009,2,9.06,7.3,9.33,7.4,1.69,1.0
Credit card,2009,2,11.54,8.9,14.13,10.8,1.64,1.0
Dispute,2009,2,12.4,8.1,12.74,8.1,1.2,1.0
No Charge,2009,2,10.32,6.7,10.53,6.9,1.24,1.0
Cash,2009,3,9.27,7.3,9.56,7.5,1.7,1.0
Credit card,2009,3,11.84,8.9,14.48,10.9,1.64,1.0
Dispute,2009,3,12.55,8.1,12.83,8.1,1.24,1.0
No Charge,2009,3,10.56,6.9,10.79,6.95,1.26,1.0
Cash,2009,4,9.26,7.3,9.55,7.5,1.71,1.0
Credit card,2009,4,11.72,8.9,14.32,10.9,1.63,1.0
Dispute,2009,4,12.51,8.1,12.86,8.1,1.3,1.0
No Charge,2009,4,10.42,6.7,10.65,6.9,1.26,1.0
Cash,2009,5,9.31,7.3,9.6,7.5,1.71,1.0
Credit card,2009,5,11.84,8.9,14.49,10.9,1.65,1.0
Dispute,2009,5,12.27,7.7,12.59,8.1,1.31,1.0
No Charge,2009,5,10.39,6.5,10.62,6.65,1.27,1.0
Cash,2009,6,9.3,7.3,9.6,7.4,1.7,1.0
Credit card,2009,6,11.77,8.9,14.42,10.87,1.64,1.0
Dispute,2009,6,12.15,7.7,12.53,7.7,1.3,1.0
No Charge,2009,6,10.21,6.5,10.43,6.5,1.24,1.0
Cash,2009,7,9.31,7.3,9.62,7.4,1.72,1.0
Credit card,2009,7,11.62,8.9,14.26,10.7,1.64,1.0
Dispute,2009,7,12.46,7.7,12.84,7.7,1.31,1.0
No Charge,2009,7,10.21,6.1,10.48,6.5,1.25,1.0
Cash,2009,8,9.35,7.3,9.66,7.4,1.74,1.0
Credit card,2009,8,11.58,8.9,14.21,10.68,1.65,1.0
Dispute,2009,8,12.65,7.3,13.01,7.7,1.31,1.0
No Charge,2009,8,10.25,6.1,10.51,6.5,1.27,1.0
Cash,2009,9,9.48,7.3,9.8,7.7,1.7,1.0
Credit card,2009,9,11.85,8.9,14.54,10.88,1.63,1.0
Dispute,2009,9,12.55,7.7,12.94,7.7,1.31,1.0
No Charge,2009,9,10.43,6.5,10.68,6.5,1.26,1.0
Cash,2009,10,9.35,7.3,9.72,7.7,1.7,1.0
Credit card,2009,10,11.6,8.9,14.3,10.8,1.62,1.0
Dispute,2009,10,13.02,7.7,13.52,8.1,1.32,1.0
No Charge,2009,10,10.65,6.5,11.04,6.5,1.24,1.0
Cash,2009,11,9.34,7.3,10.26,8.2,1.72,1.0
Credit card,2009,11,11.53,8.9,14.82,11.3,1.63,1.0
Dispute,2009,11,11.47,6.9,12.6,7.8,1.33,1.0
No Charge,2009,11,10.01,6.5,11.02,7.1,1.26,1.0
Cash,2009,12,9.37,7.3,10.32,8.2,1.73,1.0
Credit card,2009,12,11.51,8.9,14.84,11.3,1.64,1.0
Dispute,2009,12,11.37,6.9,12.53,7.9,1.29,1.0
No Charge,2009,12,10.09,6.5,11.15,7.1,1.28,1.0
Cash,2010,1,8.77,6.9,9.69,7.8,1.71,1.0
Credit card,2010,1,10.78,8.1,13.94,10.7,1.64,1.0
Dispute,2010,1,11.13,6.5,12.31,7.5,1.26,1.0
No Charge,2010,1,9.65,6.1,10.68,6.8,1.25,1.0
Cash,2010,2,8.8,6.9,6.63,7.8,1.66,1.0
Credit card,2010,2,10.7,8.1,13.37,10.75,1.59,1.0
Unknown,2010,2,11.28,5.7,12.33,6.6,1.24,1.0
Cash,2010,3,6.07,6.9,4.35,7.9,1.66,1.0
Credit card,2010,3,11.11,8.5,13.99,10.92,1.59,1.0
Dispute,2010,3,11.14,6.1,12.33,7.1,1.2,1.0
No Charge,2010,3,10.28,5.7,11.36,6.4,1.25,1.0
Unknown,2010,3,0.0,0.0,0.18,0.0,1.26,1.0
Cash,2010,4,9.2,7.3,10.16,8.0,1.7,1.0
Credit card,2010,4,11.14,8.5,14.37,11.0,1.62,1.0
Dispute,2010,4,11.28,6.5,12.44,7.4,1.22,1.0
No Charge,2010,4,9.71,6.1,10.76,6.7,1.24,1.0
Cash,2010,5,9.42,7.3,10.38,8.2,1.71,1.0
Credit card,2010,5,11.41,8.5,14.68,11.2,1.63,1.0
Dispute,2010,5,11.05,6.1,12.18,7.0,1.22,1.0
No Charge,2010,5,9.73,5.7,10.77,6.7,1.23,1.0
Cash,2010,6,9.4,7.3,10.37,8.2,1.7,1.0
Credit card,2010,6,11.38,8.5,14.66,11.2,1.63,1.0
Dispute,2010,6,11.15,6.1,12.28,7.0,1.21,1.0
No Charge,2010,6,9.57,5.7,10.6,6.7,1.24,1.0
Cash,2010,7,9.37,7.3,10.33,8.2,1.72,1.0
Credit card,2010,7,11.15,8.5,14.37,11.0,1.62,1.0
Dispute,2010,7,11.03,6.1,12.26,7.0,1.2,1.0
No Charge,2010,7,9.46,5.7,10.53,6.4,1.25,1.0
Cash,2010,8,9.44,7.3,10.41,8.2,1.77,1.0
Credit card,2010,8,11.2,8.5,14.43,11.0,1.68,1.0
Dispute,2010,8,11.29,6.1,12.35,7.1,1.22,1.0
No Charge,2010,8,9.7,5.7,10.66,6.6,1.24,1.0
Cash,2010,9,9.54,7.3,10.49,8.2,1.67,1.0
Credit card,2010,9,11.41,8.9,14.65,11.25,1.59,1.0
Dispute,2010,9,12.1,5.7,13.16,6.65,1.23,1.0
No Charge,2010,9,9.29,5.7,10.25,6.6,1.26,1.0
Cash,2010,10,9.47,7.3,10.42,8.2,1.7,1.0
Credit card,2010,10,11.26,8.5,14.49,11.1,1.62,1.0
Cash,2010,11,9.43,7.3,10.37,8.2,1.72,1.0
Credit card,2010,11,11.27,8.5,14.5,11.04,1.63,1.0
Cash,2010,12,9.51,7.3,10.47,8.2,1.72,1.0
Credit card,2010,12,11.27,8.5,14.52,11.1,1.64,1.0
Cash,2011,1,9.03,6.9,9.96,7.9,1.67,1.0
Credit card,2011,1,10.7,8.1,13.84,10.75,1.61,1.0
Cash,2011,2,9.09,7.3,10.02,7.9,1.66,1.0
Credit card,2011,2,10.76,8.5,13.95,10.9,1.6,1.0
Cash,2011,3,9.28,7.3,10.24,8.0,1.65,1.0
Credit card,2011,3,11.0,8.5,14.3,11.0,1.59,1.0
Cash,2011,4,9.41,7.3,10.38,8.2,1.65,1.0
Credit card,2011,4,11.05,8.5,14.34,11.0,1.56,1.0
Cash,2011,5,9.66,7.3,10.63,8.3,1.67,1.0
Credit card,2011,5,11.39,8.5,14.76,11.28,1.6,1.0
Cash,2011,6,9.63,7.3,10.61,8.3,1.67,1.0
Credit card,2011,6,11.35,8.5,14.72,11.28,1.6,1.0
Cash,2011,7,9.56,7.3,10.53,8.2,1.71,1.0
Credit card,2011,7,11.11,8.5,14.4,11.1,1.61,1.0
Cash,2011,8,9.64,7.3,10.63,8.2,1.68,1.0
Credit card,2011,8,11.13,8.5,14.46,11.0,1.59,1.0
Cash,2011,9,9.89,7.7,10.87,8.4,1.69,1.0
Credit card,2011,9,11.58,8.9,14.98,11.4,1.62,1.0
Cash,2011,10,9.68,7.3,10.64,8.3,1.71,1.0
Credit card,2011,10,11.32,8.5,14.67,11.25,1.64,1.0
Cash,2011,11,9.73,7.7,10.69,8.3,1.71,1.0
Credit card,2011,11,11.46,8.9,14.84,11.3,1.64,1.0
Cash,2011,12,9.69,7.7,10.67,8.3,1.73,1.0
Credit card,2011,12,11.36,8.5,14.74,11.3,1.65,1.0
Cash,2012,1,9.06,6.9,10.0,7.9,1.69,1.0
Credit card,2012,1,10.68,8.1,13.9,10.7,1.63,1.0
Dispute,2012,1,10.78,5.3,11.81,6.2,1.17,1.0
No Charge,2012,1,10.09,5.3,11.02,6.3,1.27,1.0
Cash,2012,2,9.18,7.3,10.13,8.0,1.69,1.0
Credit card,2012,2,10.75,8.1,13.96,10.8,1.64,1.0
Unknown,2012,2,13.91,8.9,18.5,11.6,1.84,1.0
Cash,2012,3,9.45,7.3,10.43,8.2,1.69,1.0
Credit card,2012,3,11.09,8.5,14.4,11.0,1.63,1.0
Dispute,2012,3,10.88,6.5,11.99,7.4,1.01,1.0
